frame_id,width,height,load_time,resize_time,preprocess_time,infer_time,postproc_time,total_time,memory_MB
199,1173,880,0.0133,0.0005,0.0029,0.0161,0.0005,0.0332,1305.93
200,1173,880,0.0152,0.0006,0.0032,0.0163,0.0006,0.0360,1305.93
201,1173,880,0.0128,0.0006,0.0030,0.0159,0.0005,0.0328,1305.93
202,1173,880,0.0137,0.0006,0.0032,0.0161,0.0005,0.0340,1305.93
203,1173,880,0.0128,0.0006,0.0029,0.0159,0.0005,0.0328,1305.93
204,1173,880,0.0129,0.0006,0.0030,0.0161,0.0004,0.0329,1305.93
205,1173,880,0.0135,0.0005,0.0030,0.0163,0.0005,0.0338,1305.93
206,1173,880,0.0130,0.0005,0.0033,0.0162,0.0004,0.0336,1305.93
207,1173,880,0.0129,0.0005,0.0030,0.0160,0.0005,0.0330,1305.93
208,1173,880,0.0128,0.0005,0.0029,0.0160,0.0005,0.0326,1305.93
209,1173,880,0.0131,0.0005,0.0029,0.0160,0.0005,0.0329,1305.93
210,1173,880,0.0176,0.0005,0.0034,0.0161,0.0006,0.0381,1305.93
211,1173,880,0.0209,0.0005,0.0032,0.0160,0.0004,0.0410,1305.93
212,1173,880,0.0128,0.0006,0.0032,0.0162,0.0005,0.0333,1305.93
213,1173,880,0.0128,0.0005,0.0029,0.0159,0.0005,0.0326,1305.93
214,1173,880,0.0130,0.0005,0.0030,0.0160,0.0004,0.0329,1305.93
215,1173,880,0.0216,0.0005,0.0031,0.0160,0.0005,0.0418,1305.93
216,1173,880,0.0138,0.0005,0.0029,0.0159,0.0005,0.0337,1305.93
217,1173,880,0.0215,0.0005,0.0030,0.0161,0.0006,0.0417,1305.93
218,1173,880,0.0188,0.0005,0.0029,0.0159,0.0004,0.0386,1305.93
219,1173,880,0.0174,0.0006,0.0029,0.0158,0.0004,0.0371,1305.93
220,1173,880,0.0130,0.0005,0.0029,0.0158,0.0004,0.0326,1305.93
221,1173,880,0.0128,0.0006,0.0029,0.0158,0.0004,0.0325,1305.93
222,1173,880,0.0127,0.0005,0.0029,0.0160,0.0004,0.0325,1305.93
223,1173,880,0.0132,0.0005,0.0029,0.0160,0.0005,0.0330,1305.93
224,1173,880,0.0225,0.0005,0.0030,0.0160,0.0005,0.0426,1305.93
225,1173,880,0.0127,0.0005,0.0029,0.0159,0.0004,0.0324,1305.93
226,1173,880,0.0132,0.0005,0.0031,0.0165,0.0004,0.0337,1305.93
227,1173,880,0.0127,0.0006,0.0028,0.0159,0.0004,0.0324,1305.93
228,1173,880,0.0126,0.0005,0.0028,0.0159,0.0004,0.0323,1305.93
229,1173,880,0.0165,0.0005,0.0030,0.0159,0.0004,0.0362,1305.93
230,1173,880,0.0129,0.0005,0.0029,0.0158,0.0004,0.0325,1305.93
231,1173,880,0.0128,0.0005,0.0030,0.0159,0.0004,0.0325,1305.93
232,1173,880,0.0127,0.0005,0.0029,0.0161,0.0004,0.0326,1305.93
233,1173,880,0.0130,0.0007,0.0029,0.0160,0.0004,0.0330,1305.93
234,1173,880,0.0173,0.0006,0.0030,0.0158,0.0004,0.0371,1305.93
235,1173,880,0.0128,0.0005,0.0028,0.0160,0.0004,0.0325,1305.93
236,1173,880,0.0129,0.0005,0.0030,0.0159,0.0004,0.0327,1305.93
237,1173,880,0.0127,0.0005,0.0029,0.0163,0.0005,0.0329,1305.93
238,1173,880,0.0128,0.0006,0.0029,0.0158,0.0005,0.0326,1305.93
239,1173,880,0.0245,0.0005,0.0032,0.0160,0.0005,0.0447,1305.93
240,1173,880,0.0128,0.0005,0.0028,0.0160,0.0006,0.0328,1305.93
241,1173,880,0.0127,0.0005,0.0029,0.0160,0.0004,0.0325,1305.93
242,1173,880,0.0128,0.0005,0.0029,0.0160,0.0005,0.0326,1305.93
243,1173,880,0.0128,0.0005,0.0029,0.0159,0.0004,0.0326,1305.93
244,1173,880,0.0208,0.0005,0.0028,0.0159,0.0004,0.0404,1305.93
245,1173,880,0.0130,0.0005,0.0030,0.0159,0.0004,0.0328,1305.93
246,1173,880,0.0129,0.0005,0.0029,0.0159,0.0005,0.0327,1305.93
247,1173,880,0.0128,0.0006,0.0029,0.0159,0.0004,0.0326,1305.93
248,1173,880,0.0128,0.0005,0.0028,0.0159,0.0004,0.0325,1305.93
249,1173,880,0.0191,0.0005,0.0031,0.0160,0.0005,0.0391,1305.93
250,1173,880,0.0130,0.0006,0.0029,0.0159,0.0004,0.0328,1305.93
251,1173,880,0.0143,0.0005,0.0030,0.0158,0.0004,0.0341,1305.93
252,1173,880,0.0128,0.0005,0.0029,0.0160,0.0005,0.0327,1305.93
253,1173,880,0.0130,0.0006,0.0028,0.0159,0.0004,0.0327,1305.93
254,1173,880,0.0129,0.0005,0.0028,0.0158,0.0004,0.0324,1305.93
255,1173,880,0.0131,0.0005,0.0028,0.0158,0.0004,0.0327,1305.93
256,1173,880,0.0218,0.0005,0.0029,0.0160,0.0004,0.0416,1305.93
257,1173,880,0.0129,0.0005,0.0028,0.0158,0.0004,0.0324,1305.93
258,1173,880,0.0128,0.0005,0.0029,0.0159,0.0005,0.0325,1305.93
259,1173,880,0.0129,0.0005,0.0028,0.0160,0.0004,0.0327,1305.93
260,1173,880,0.0130,0.0006,0.0029,0.0158,0.0004,0.0327,1305.93
261,1173,880,0.0141,0.0005,0.0029,0.0159,0.0004,0.0338,1305.93
262,1173,880,0.0128,0.0005,0.0028,0.0159,0.0005,0.0325,1305.93
263,1173,880,0.0130,0.0006,0.0029,0.0166,0.0006,0.0336,1305.93
264,1173,880,0.0130,0.0005,0.0029,0.0159,0.0005,0.0328,1305.93
265,1173,880,0.0130,0.0005,0.0028,0.0159,0.0005,0.0327,1305.93
266,1173,880,0.0205,0.0005,0.0030,0.0160,0.0005,0.0405,1305.93
267,1173,880,0.0129,0.0005,0.0029,0.0160,0.0005,0.0328,1305.93
268,1173,880,0.0129,0.0005,0.0028,0.0160,0.0005,0.0327,1305.93
269,1173,880,0.0127,0.0005,0.0028,0.0160,0.0005,0.0326,1305.93
270,1173,880,0.0130,0.0005,0.0029,0.0160,0.0005,0.0330,1305.93
271,1173,880,0.0252,0.0006,0.0029,0.0160,0.0006,0.0453,1305.93
272,1173,880,0.0133,0.0005,0.0030,0.0161,0.0006,0.0336,1305.93
273,1173,880,0.0192,0.0005,0.0029,0.0160,0.0006,0.0393,1305.93
274,1173,880,0.0128,0.0005,0.0032,0.0160,0.0004,0.0329,1305.93
275,1173,880,0.0129,0.0005,0.0028,0.0160,0.0005,0.0328,1305.93
276,1173,880,0.0144,0.0006,0.0030,0.0163,0.0005,0.0347,1305.93
277,1173,880,0.0134,0.0005,0.0028,0.0161,0.0006,0.0334,1305.93
278,1173,880,0.0128,0.0005,0.0029,0.0159,0.0005,0.0326,1305.93
279,1173,880,0.0128,0.0005,0.0028,0.0163,0.0005,0.0330,1305.93
280,1173,880,0.0131,0.0005,0.0029,0.0161,0.0006,0.0332,1305.93
281,1173,880,0.0178,0.0006,0.0029,0.0159,0.0005,0.0378,1305.93
282,1173,880,0.0131,0.0005,0.0030,0.0165,0.0006,0.0337,1305.93
283,1173,880,0.0130,0.0005,0.0028,0.0160,0.0006,0.0328,1305.93
284,1173,880,0.0130,0.0005,0.0028,0.0159,0.0005,0.0328,1305.93
285,1173,880,0.0129,0.0005,0.0029,0.0160,0.0005,0.0327,1305.93
286,1173,880,0.0186,0.0005,0.0030,0.0160,0.0005,0.0386,1305.93
287,1173,880,0.0129,0.0005,0.0028,0.0160,0.0005,0.0327,1305.93
288,1173,880,0.0129,0.0006,0.0028,0.0159,0.0005,0.0326,1305.93
289,1173,880,0.0130,0.0005,0.0029,0.0161,0.0005,0.0330,1305.93
290,1173,880,0.0131,0.0005,0.0028,0.0160,0.0005,0.0329,1305.93
291,1173,880,0.0291,0.0005,0.0030,0.0159,0.0005,0.0490,1305.93
292,1173,880,0.0132,0.0005,0.0029,0.0161,0.0005,0.0332,1305.93
293,1173,880,0.0130,0.0005,0.0029,0.0161,0.0007,0.0332,1306.16
294,1173,880,0.0144,0.0005,0.0030,0.0161,0.0005,0.0345,1306.16
295,1173,880,0.0153,0.0005,0.0031,0.0160,0.0005,0.0354,1306.16
296,1173,880,0.0134,0.0005,0.0028,0.0159,0.0004,0.0330,1306.16
297,1173,880,0.0129,0.0005,0.0030,0.0158,0.0004,0.0326,1306.16
298,1173,880,0.0129,0.0005,0.0028,0.0161,0.0005,0.0328,1306.16
299,1173,880,0.0132,0.0006,0.0029,0.0160,0.0006,0.0332,1306.16
300,1173,880,0.0178,0.0006,0.0029,0.0159,0.0005,0.0376,1306.16
301,1173,880,0.0130,0.0005,0.0029,0.0160,0.0005,0.0328,1306.16
302,1173,880,0.0130,0.0005,0.0029,0.0161,0.0006,0.0331,1306.16
303,1173,880,0.0129,0.0005,0.0029,0.0159,0.0005,0.0326,1306.16
304,1173,880,0.0131,0.0005,0.0028,0.0160,0.0005,0.0329,1306.16
305,1173,880,0.0217,0.0005,0.0029,0.0161,0.0006,0.0417,1306.16
306,1173,880,0.0128,0.0005,0.0029,0.0160,0.0005,0.0327,1306.16
307,1173,880,0.0132,0.0005,0.0029,0.0160,0.0005,0.0331,1306.16
308,1173,880,0.0215,0.0007,0.0031,0.0161,0.0006,0.0420,1306.16
309,1173,880,0.0177,0.0005,0.0029,0.0160,0.0005,0.0376,1306.16
310,1173,880,0.0129,0.0005,0.0029,0.0159,0.0005,0.0327,1306.16
311,1173,880,0.0130,0.0005,0.0028,0.0159,0.0005,0.0327,1306.16
312,1173,880,0.0130,0.0006,0.0029,0.0160,0.0005,0.0329,1306.16
313,1173,880,0.0132,0.0005,0.0029,0.0159,0.0005,0.0330,1306.16
314,1173,880,0.0155,0.0007,0.0029,0.0159,0.0004,0.0354,1306.16
315,1173,880,0.0129,0.0005,0.0028,0.0159,0.0004,0.0326,1306.16
316,1173,880,0.0131,0.0005,0.0028,0.0160,0.0005,0.0329,1306.16
317,1173,880,0.0129,0.0005,0.0029,0.0160,0.0006,0.0329,1306.16
318,1173,880,0.0133,0.0005,0.0028,0.0160,0.0005,0.0330,1306.16
319,1173,880,0.0240,0.0005,0.0029,0.0161,0.0005,0.0440,1306.16
320,1173,880,0.0131,0.0005,0.0028,0.0160,0.0005,0.0329,1306.16
321,1173,880,0.0130,0.0005,0.0028,0.0159,0.0005,0.0327,1306.16
322,1173,880,0.0137,0.0006,0.0029,0.0160,0.0005,0.0337,1306.16
323,1173,880,0.0130,0.0005,0.0029,0.0159,0.0005,0.0327,1306.16
324,1173,880,0.0188,0.0006,0.0030,0.0159,0.0005,0.0388,1306.16
325,1173,880,0.0215,0.0006,0.0029,0.0161,0.0006,0.0417,1306.16
326,1173,880,0.0132,0.0005,0.0030,0.0161,0.0006,0.0333,1306.16
327,1173,880,0.0177,0.0005,0.0029,0.0162,0.0006,0.0379,1306.16
328,1173,880,0.0167,0.0005,0.0030,0.0160,0.0006,0.0367,1306.16
329,1173,880,0.0128,0.0005,0.0028,0.0160,0.0005,0.0327,1306.16
